@relation foodfacts
@attribute vitamin-c_100g numeric
@attribute sodium_100g numeric
@attribute salt_100g numeric
@attribute proteins_100g numeric
@attribute fiber_100g numeric
@attribute sugars_100g numeric
@attribute carbohydrates_100g numeric
@attribute saturated-fat_100g numeric
@attribute fat_100g numeric
@attribute energy_100g numeric
@attribute nutrition-score-fr_100g {bad, medium, good}
@data
0,0.571,1.45,7.14,7.14,0,71.4,0,7.14,1790,medium
0,0.618,1.57,5.88,5.88,17.6,70.6,8.82,20.6,1970,good
0,0.571,1.45,7.14,7.14,0,71.4,0,7.14,1790,medium
0,0.357,0.907,8.57,2.86,28.6,62.9,7.14,20,2030,good
0,0.367,0.931,20,6.67,6.67,26.7,6.67,53.3,2510,good
0.000686,0.0629,0.16,2.29,0,5.14,6.86,0,0,191,medium
0,0,0,14.3,7.14,7.14,71.4,0,5.95,1590,bad
0,1.58,4.01,28.9,0,7.89,10.5,9.21,23.7,1540,good
0,0.0556,0.141,4.89,0,4,6.67,1.11,1.78,260,bad
0,0.025,0.0635,2.92,0,5.42,5.83,0.417,1.88,209,medium
0,0.0375,0.0952,2.37,0.394,7.5,7.89,0.394,1.58,231,medium
0,0.092,0.234,4,2.8,0.4,14.4,0.2,1.6,368,bad
0.03,0,0,0.417,0,0.833,11.7,0,0,209,bad
0,0.0833,0.212,10,0,26.7,63.3,1.67,20,3.33,medium
0.0049,0.278,0.705,2.86,3.27,2.04,9.8,0.204,1.63,273,bad
0,0.042,0.107,0.4,0.4,0,0.4,0,1.2,58.4,medium
0,0.056,0.142,2.8,0.4,7.6,8,0.4,2.4,268,medium
0,0.152,0.385,6.06,3.03,33.3,60.6,18.2,30.3,2280,good
0,0.307,0.781,2.87,1.23,2.46,13.1,1.23,2.87,377,medium
0,0.292,0.741,3.5,1.17,3.11,12.1,1.56,4.28,423,medium
0,0.647,1.64,8.82,8.82,0,55.9,4.41,20.6,1720,good
0,0.22,0.559,26,10,2,10,6,58,2850,good
0,0.076,0.193,3.2,0,4,5.2,0.6,1,167,bad
0,0.71,1.8,3.23,3.23,32.3,80.6,0.968,9.68,1750,good
0,0.586,1.49,6.9,6.9,31,82.8,0,5.17,1590,good
0,0.55,1.4,5,2.5,47.5,77.5,5,12.5,1780,good
0.006,0.00394,0.0100076,0.2,0.7,10.4,10.4,0.1,0.1,195,medium
0.00171,0.236,0.599,15,0.714,4.29,17.1,2.5,11.4,956,medium
0,0.075,0.191,5,2.5,60,65,17.5,27.5,2200,good
0,87.5,222,5,2.5,57.5,62.5,17.5,30,2200,good
0.02,0.00833,0.0212,0.333,0,10,10.7,0,0,181,medium
0,0.0889,0.226,6.67,6.67,48.9,57.8,17.8,31.1,2040,good
0,0.0889,0.226,6.67,6.67,51.1,57.8,17.8,31.1,2040,good
0,0.122,0.31,4.44,4.44,51.1,64.4,17.8,26.7,1950,good
0,0.122,0.31,4.44,4.44,51.1,62.2,20,31.1,2040,good
0,456,1160,5.26,5.26,3.51,43.9,0.877,7.89,1100,medium
0,0.294,0.747,9.41,2.35,1.18,49.4,1.76,7.06,1230,bad
0,1.5,3.81,0,0,3.33,3.33,6.67,50,2090,good
0,0.0606,0.154,6.06,3.03,60.6,63.6,18.2,30.3,2280,good
0,0.0625,0.159,5,2.5,60,62.5,17.5,30,2200,good
0.00212,0.336,0.854,1.77,0.885,4.42,7.08,0.885,3.54,259,medium
0,0.607,1.54,28.6,0,0,0,17.9,32.1,1640,good
0.00102,0.0593,0.151,3.39,0,5.08,5.08,0,0,159,bad
0.00102,0.0572,0.145,3.81,0,5.08,5.51,0,0,160,bad
0,0.05,0.127,2.94,0,15.3,19.4,0.588,0.882,418,medium
0,0.0471,0.12,2.94,0,5.88,9.41,0,0,222,medium
0,0.0367,0.0931,7.33,0,12.7,15.3,0.333,0.667,419,bad
0,0,0,7.14,11.9,26.2,47.6,23.8,40.5,2390,good
0,0.418,1.06,20,0,0,0,1.82,14.5,836,medium
0,0.089,0.226,3.39,0,10.2,10.6,0.636,1.06,283,medium
0,0.81,2.06,10.3,1.72,6.9,69,3.45,6.9,1590,good
0.001,0.104,0.265,4.58,0,0,9.58,0.625,1.04,262,bad
0.001,0.104,0.265,4.58,0,1.25,9.58,0.625,1.04,262,bad
0.0005,0.0583,0.148,4.17,0,5.42,5.42,1.25,2.08,227,medium
0,0.0441,0.112,2.94,0.588,14.1,15.9,2.06,3.53,418,medium
0.000508,0.0678,0.172,4.24,0,6.36,6.78,0.636,1.06,55.1,bad
0.000508,0.053,0.135,3.39,0,5.08,5.51,2.12,3.39,283,medium
0.000508,0.0678,0.172,4.24,0,6.36,6.78,0.636,1.06,55.1,bad
0.000508,0.0551,0.14,3.81,0,5.51,5.51,0,0,160,bad
0.000508,0.0551,0.14,3.81,0,5.51,5.51,0,0,160,bad
0,0.643,1.63,4.76,4.76,52.4,76.2,7.14,9.52,1800,good
0,0.346,0.878,3.72,1.12,0,9.67,1.12,3.35,358,medium
0,0.767,1.95,0,0,3.33,6.67,6.67,46.7,1810,good
0.004,0.867,2.2,3.33,0,3.33,6.67,8.33,46.7,1950,good
0.012,0.8,2.03,0,0,3.33,6.67,5,30,1260,good
0,0.787,2,17.6,14.1,0,70.5,0,7.05,1620,medium
0.00429,0.643,1.63,17.9,0,0,3.57,0,0,375,medium
0,0.0417,0.106,11.1,5.56,61.1,63.9,2.78,22.2,2070,good
0,0.013,0.03302,3,2,21,22,2,9,1,medium
0.0185,1.38,3.52,13.8,9.23,1.54,70.8,0,0.769,1480,medium
0.0275,0.0271,0.0688,0.417,1.25,7.92,9.58,0,0,157,medium
0,0.947,2.41,8.77,1.75,3.51,47.4,0.877,2.63,1030,good
0.0018,0.564,1.43,0.752,1.5,3.76,27.8,3.76,7.52,912,medium
0.00185,0.538,1.37,10,1.54,2.31,27.7,4.62,10,998,medium
0,0.0792,0.201,3.33,0.417,12.1,12.5,0.625,1.04,314,medium
0.00106,0.0661,0.168,4.41,0,14.1,14.5,0.881,1.32,369,medium
0,0,0,12.3,3.53,3.53,77.6,0,1.76,1550,bad
0.0005,0.0708,0.18,4.58,0,6.67,7.08,0,0,192,bad
0,1.1,2.79,16.7,6.67,6.67,50,5,23.3,2090,good
0.012,0.667,1.69,0,0,3.33,3.33,0,0,70,medium
0,0.516,1.31,9.43,1.26,10.1,30.2,5.66,10.1,1050,good
0.016,0.5,1.27,3.33,3.33,6.67,13.3,8.33,46.7,2090,good
0,0,0,10,7.5,2.5,67.5,1.25,6.25,1570,bad
0,0.688,1.75,0,0,15.6,28.1,0,0,456,good
0,0.405,1.03,20.2,0,0,1.19,0,2.38,449,medium
0,0.0526,0.134,7.89,2.63,47.4,52.6,18.4,36.8,2310,good
0,0.013,0.0331,0.87,1.74,0,0,0.87,1.74,91.3,bad
0,3.6,9.14,6.67,0,26.7,26.7,0,6.67,840,good
0,1,2.54,0,0,0,3.23,0,0,67.7,good
0,0.71,1.8,0,0,3.23,6.45,0,0,135,medium
0,1.87,4.74,0,0,0,3.33,0,0,70,good
0.001,0.0542,0.138,3.33,0,5,5.42,2.08,3.75,279,medium
0.00102,0.0572,0.145,3.81,0,5.08,5.51,0,0,38.1,bad
0,0.189,0.481,2.7,2.7,43.2,51.4,16.2,16.2,1580,good
0,1.64,4.17,21.4,0,3.57,7.14,8.93,25,1350,good
0,0.714,1.81,21.4,0,1.79,1.79,0,0.893,448,medium
0.00214,0.411,1.04,23.2,0,0,1.79,0,0.893,448,medium
0,1.64,4.17,28.6,0,28.6,0,3.57,10.7,896,good
0,1.64,4.17,21.4,0,3.57,7.14,8.93,25,1350,good
0,0.154,0.391,11.5,3.85,19.2,53.8,11.5,34.6,2250,good
0.0282,0.147,0.374,5.88,0,35.3,70.6,14.7,23.5,2220,good
0,0.186,0.472,8.57,2.86,25.7,68.6,12.9,22.9,2150,good
0,0,0,0,0,0,0,13.3,93.3,3350,good
0,2.1,5.33,3.33,3.33,0,0,0,0,13.3,medium
0.0096,0.392,0.996,0.8,0.8,2.4,4,0.8,4.4,302,medium
0.0096,0.392,0.996,0.8,0.8,2.4,4,0.8,4.4,302,medium
0.012,0.416,1.06,2.4,1.6,3.2,7.2,1.2,4.8,334,medium
0.12,1.3,3.3,6.67,3.33,10,16.7,8.33,46.7,2090,good
0,0.287,0.73,26.2,0,0,0,2.5,12.5,889,medium
0,0.329,0.837,16.5,1.18,0,9.41,4.71,10.6,836,medium
0,0,0,6.67,2.22,0,80,0,0,1490,bad
0,0.214,0.544,32.1,0,0,3.57,17.9,28.6,1640,good
0,0,0,7.14,7.14,1.79,73.2,0.893,5.36,1420,bad
0,0.933,2.37,0,0,3.33,6.67,3.33,20,977,good
0.0324,0.203,0.515,5.41,8.11,5.41,67.6,0,27,1240,bad
0,0.13,0.33,12,0,0,2,3,9,586,bad
0,0.0482,0.122,6.02,1.2,22.9,25.3,15.7,26.5,1510,good
0,1.55,3.93,8.33,1.67,3.33,66.7,6.67,13.3,1730,good
0.00102,0.0636,0.161,4.24,0,5.51,5.93,1.27,2.12,248,medium
0.00102,0.0551,0.14,3.39,0,5.08,5.51,2.12,3.81,283,medium
0,0.0125,0.0318,3.75,1.67,0.417,2.08,0.208,1.88,157,bad
0,0.23,0.584,5.41,5.41,2.7,73,1.35,6.76,1580,bad
0,0.286,0.726,17.9,0,3.57,10.7,14.3,21.4,1200,good
0,2.15,5.46,10,3,1,65,9,18,1920,good
0,0,0,7.14,1.79,0,78.6,0,1.79,1490,bad
0,0.357,0.907,5.36,3.57,32.1,67.9,8.93,23.2,2090,good
0.00214,0.0179,0.0454,14.3,3.57,3.57,73.2,0,1.79,1490,bad
0,0,0,14.3,3.57,3.57,73.2,0,1.79,1490,bad
0,0.0357,0.0907,12.5,3.57,3.57,73.2,0,1.79,1490,bad
0,0,0,12.5,3.57,3.57,75,0,1.79,1490,bad
0,0,0,12.5,3.57,3.57,75,0,1.79,1490,bad
0,0,0,12.5,3.57,3.57,75,0,1.79,1490,bad
0,0,0,12.5,3.57,3.57,75,0,1.79,1490,bad
0,0,0,12.5,3.57,3.57,75,0,1.79,1490,bad
0,0,0,12.5,3.57,3.57,75,0,1.79,1490,bad
0,0,0,12.5,3.57,3.57,75,0,1.79,1490,bad
0,0.0179,0.0454,12.5,3.57,3.57,75,0,1.79,1490,bad
0,0.0487,0.124,3.39,0,5.08,5.08,1.27,2.12,213,medium
0,0.316,0.802,28.1,7.02,3.51,15.8,8.77,52.6,2500,good
0,0.3,0.762,2.5,0,47.5,80,5,7.5,1570,good
0,0.784,1.99,18.9,0,0,24.3,6.76,16.2,1360,good
0.0171,0.929,2.36,0,7.14,0,7.14,3.57,28.6,1190,good
0.00451,0.534,1.36,9.77,1.5,3.76,27.8,3.76,8.27,944,medium
0,1.21,3.08,7.14,0,0,71.4,0,10.7,1790,good
0.00237,0.388,0.986,5.26,1.32,1.32,35.5,0.987,4.61,853,medium
0,0.429,1.09,14.3,0,0,0,14.3,32.1,1490,good
0,0.833,2.12,10,3.33,3.33,83.3,0,0,1530,medium
0,0.833,2.12,10,3.33,3.33,83.3,0,0,1530,medium
0,0.0153,0.0388,0,0,12.5,12.8,0,0,198,good
0,0.643,1.63,25,0,0,3.57,21.4,32.1,1640,good
0,0.643,1.63,25,0,0,3.57,21.4,32.1,1640,good
0,0.714,1.81,32.1,0,0,3.57,5.36,8.93,896,medium
0,0.0485,0.123,3.52,0,10.6,12.3,4.41,7.49,534,medium
0,0,0,7.14,7.14,0,71.4,0,14.3,1790,bad
0,0.967,2.46,0,0,3.33,6.67,5,36.7,1530,good
0.001,0.0542,0.138,3.33,0,5,5.42,0,0,157,bad
0,0.406,1.03,21.9,6.25,9.38,25,6.25,46.9,2350,good
0,0.406,1.03,21.9,6.25,9.38,25,6.25,46.9,2350,good
0,0.283,0.72,0,1.67,40,43.3,0,0,697,good
0,0,0,12.5,10,2.5,67.5,1.25,7.5,1570,bad
0.00857,0.571,1.45,7.14,3.57,3.57,57.1,3.57,25,2090,good
0,0.536,1.36,7.14,3.57,3.57,53.6,3.57,25,2090,medium
0,0.467,1.19,13.3,6.67,6.67,73.3,0,6.67,1670,medium
0.0171,0,0,0,7.14,64.3,85.7,0,0,1340,medium
0,0.887,2.25,1.61,0,4.84,11.3,2.42,8.06,540,good
0,0,0,5,5,0,27,0,0.5,502,bad
0,0.1,0.254,6.15,4.62,3.85,18.5,0,0,418,bad
0,0,0,12.5,3.57,3.57,73.2,0,1.79,1490,bad
0,0.0678,0.172,3.39,0,9.32,9.32,0.636,1.06,266,medium
0.00319,0.0233,0.0592,8.65,0.666,9.98,13.3,0,0,362,bad
0,0.21,0.533,1.82,1.82,0,1.82,0,0,60.9,bad
0,0.05,0.127,6.67,0,3.33,10,0,6.67,977,bad
0,0.0471,0.12,4.12,0,4.12,4.12,1.76,2.65,246,bad
0.00414,0.207,0.526,3.45,3.45,34.5,62.1,17.2,27.6,2020,good
0,0.422,1.07,6.25,6.25,0,62.5,10.9,28.1,1960,good
0.133,0,0,0,1.43,9.29,12.9,0,0,239,bad
0.00429,0,0,0,3.57,0,3.57,0,0,75,bad
0,0.00833,0.0212,1.67,0,1.67,3.33,4.17,18.3,767,medium
0.0214,0.411,1.04,7.14,3.57,0,57.1,3.57,32.1,2240,medium
0.0214,0.607,1.54,7.14,3.57,3.57,57.1,3.57,32.1,2240,good
0,0.0437,0.111,0.417,0,5,11.2,0,1.04,227,medium
0,0.0395,0.1,7.89,0,42.1,73.7,0,0,1320,good
0,0.643,1.63,25,0,0,3.57,21.4,32.1,1640,good
0.00245,0.269,0.684,2.04,0.816,0.816,8.98,1.02,3.67,324,medium
0,0.1,0.254,5.38,3.85,0.769,15.4,0,0,354,bad
0,0.393,0.998,17.9,3.57,3.57,28.6,8.93,46.4,2390,good
0,0,0,12.5,3.57,3.57,73.2,0,1.79,1490,bad
0,0.5,1.27,5.88,8.82,0,55.9,11.8,26.5,1850,good
0.0677,0.484,1.23,6.45,9.68,29,87.1,0,0,1480,good
0.02,0.194,0.494,0,0,33.3,38.9,0,0,583,good
0.00178,0.00741,0.0188,0.741,1.48,8.89,11.1,0,0,186,bad
0,1.21,3.08,17.9,0,0,3.57,14.3,25,1200,good
0,0.459,1.17,23.5,0,0,0,1.76,9.41,787,medium
0,0.333,0.847,10,6.67,30,46.7,6.67,30,2090,good
0,0.0471,0.12,2.94,0,11.8,13.5,2.06,3.53,100,medium
0,0.925,2.35,10,2.5,10,67.5,6.25,17.5,1880,good
0,5.67,14.4,8.33,0,16.7,16.7,8.33,16.7,1050,good
0,0.0705,0.179,6.17,0,4.41,7.49,0,0,221,bad
0,0.423,1.08,4.7,1.57,29.8,50.2,3.14,14.1,1440,good
0,0.446,1.13,3.57,0,21.4,53.6,12.5,21.4,1790,good
0.00353,0.118,0.299,11.8,5.88,26.5,41.2,4.41,38.2,2090,good
0,0.237,0.603,0.833,0,0.417,0.417,0,0,26.2,medium
0,0.75,1.91,7.5,10,0,65,1.25,3.75,1360,medium
0,0,0,10,12.5,15,32.5,25,50,2620,good
0,0.2,0.508,4,4,44,64,12,28,2180,good
0.00189,0.291,0.74,11,2.36,0.787,29.9,2.76,6.3,923,bad
0.0005,0.0521,0.132,3.33,0,5,5,2.08,3.33,262,medium
0,0.117,0.296,6.67,3.33,40,56.7,16.7,30,2230,good
0,0.0525,0.133,3.64,0.404,10.9,11.3,1.21,2.02,321,medium
0,0.05,0.127,10,6.67,33.3,43.3,13.3,40,2230,good
0.002,0.617,1.57,10.8,0.833,2.5,25.8,4.17,10,977,good
0,0,0,17.9,7.14,7.14,25,7.14,50,2390,good
0,0.286,0.726,7.14,0,21.4,78.6,3.57,10.7,1790,good
0.00952,0.111,0.282,0.794,0.794,1.59,2.38,0,0,50,medium
0,0.167,0.423,10,3.33,40,56.7,5,20,1950,good
0.02,0.35,0.889,3.33,6.67,0,10,3.33,13.3,557,medium
0,0.238,0.605,20.2,0,0,0,1.79,8.33,648,bad
0,0.964,2.45,7.14,0,10.7,57.1,8.93,28.6,2090,good
0,0.0465,0.118,4.65,2.33,51.2,53.5,20.9,30.2,2140,good
0.00857,0.0357,0.0907,0,7.14,78.6,92.9,0,0,1490,medium
0,0.767,1.95,0,0,0,6.67,0,16.7,700,good
0.0005,0.0583,0.148,0.417,0.417,1.25,1.67,0,0,35,medium
0,0.372,0.945,9.3,11.6,6.98,46.5,0,2.33,877,bad
0.00214,0.768,1.95,19.6,0,7.14,8.93,0,1.79,448,medium
0,0.211,0.535,11.4,0.877,0,17.5,1.75,7.89,807,bad
0.006,0.0393700787401575,0.1,0.1,0.1,10.4,10.4,0.1,0.1,190,medium
0.0005,0,0,0,0.417,10,12.5,0,0,209,medium
0.00222,0.333,0.847,9.26,3.7,5.56,42.6,0,7.41,1160,bad
0,0.571,1.45,3.57,3.57,3.57,78.6,0,7.14,1790,medium
0,0.8,2.03,3.33,0,6.67,13.3,0,6.67,420,medium
0,0,0,5,5,12,36,2,10,250,bad
0,0.00877,0.0223,1.75,1.75,70.2,80.7,6.14,10.5,1760,good
0.046,0.00394,0.0100076,0.7,0.5,0.8,0.8,0.1,0.5,36,bad
0,0.941,2.39,0,0,23.5,23.5,0,0,371,good
0.00706,0.941,2.39,0,0,23.5,29.4,0,0,494,good
0.00706,0.941,2.39,0,0,23.5,29.4,0,0,494,good
0,1.18,2.99,0,0,17.6,23.5,0,0,494,good
0,1.19,3.02,0,0,6.25,6.25,0,0,131,good
0.00706,0.941,2.39,0,0,29.4,35.3,0,0,618,good
0,1.12,2.84,0,0,23.5,29.4,0,0,494,good
0,1.12,2.84,0,0,23.5,29.4,0,0,494,good
0.00706,0.941,2.39,0,0,29.4,29.4,0,0,494,good
0,0.964,2.45,10.7,3.57,0,78.6,0,7.14,1720,good
0,0.734,1.87,10.9,1.56,1.56,6.25,3.12,6.25,523,good
0,0.0446,0.113,23.2,0,0,0,1.34,3.12,523,bad
0.024,0.01,0.0254,0.3,0.1,10,10.8,0,0.1,193,medium
0,0.0385,0.0977,2.56,2.56,48.7,59,0,0,967,good
0,0.0814,0.207,6.98,2.33,55.8,60.5,18.6,30.2,2040,good
0,0.0714,0.181,7.14,2.38,50,64.3,16.7,26.2,2090,good
0,0.0385,0.0977,2.56,2.56,51.3,61.5,0,0,1070,good
0,0.357,0.907,11.9,2.38,50,57.1,10.7,31,2090,good
0,0.38,0.965,11.4,3.8,49.4,55.7,10.1,30.4,2120,good
0,0.0731,0.186,4.17,2.09,64.7,71,12.5,18.8,2010,good
0,0.075,0.191,0.417,0.417,0,0.833,0,1.04,52.5,medium
0,0.571,1.45,0,0,0,0,7.14,71.4,2690,good
0,0.396,1.01,4.17,4.17,25,70.8,3.12,10.4,1660,good
0,0.0769,0.195,0,0,61.5,84.6,0,0,1450,good
0.0101,0.355,0.901,1.35,1.35,7.43,9.46,0,0,170,medium
0,1.41,3.58,12.5,0,1.79,1.79,10.7,28.6,1340,good
0.00625,0.00417,0.0106,0,0,7.08,7.5,0,0,122,good
0.025,0.00417,0.0106,0,0,10.4,10.8,0,0,174,medium
0.00625,0.00417,0.0106,0,0,0.417,0.417,0,0,0,medium
0.0048,2.23,5.66,16,20,2,65.3,0,2.67,1170,medium
0.024,11.2,28.4,10,20,10,45,0,10,1050,good
0.015,0.3,0.762,5,0,0,20,0,0,525,medium
0,0.0345,0.0876,6.9,0,27.6,48.3,3.45,17.2,1590,good
0,0.018,0.0457,0,0,2,2,0,0,33.6,medium
0,0.0119,0.0302,7.14,9.52,40.5,52.4,21.4,38.1,2390,good
0.0207,0.517,1.31,3.45,3.45,34.5,89.7,0,0,1590,good
0,1.07,2.72,7.14,10.7,0,46.4,16.1,35.7,2240,good
0,0.18,0.4572,0,0,0,4,4,4.5,251,medium
0.0171,0.171,0.435,14.3,8.57,22.9,54.3,7.14,17.1,1790,good
0,0.833,2.12,0,0,3.33,3.33,3.33,15,627,good
0,1,2.54,10.3,1.72,6.9,72.4,0,2.59,1520,good
0,0.59,1.5,2.56,2.56,41,76.9,3.85,11.5,1720,good
0,1.45,3.68,8.33,0,3.33,66.7,8.33,15,1780,good
0,1.45,3.68,8.33,0,3.33,66.7,8.33,15,1780,good
0,0.007,0.0178,0,0,4.2,4.2,0,0,0,medium
0,0.0675,0.171,2.5,10,20,92.5,0,0,1460,medium
0,280,711,8,4,12,54.7,0,1.33,1120,good
0.015,0.07,0.1778,1,2,2,28,4,10,795,medium
0,4.42,11.2,8.33,8.33,25,25,0,8.33,875,good
0,0.0625,0.159,0.417,0.417,2.92,3.33,0,1.04,105,medium
0,0.0267,0.0677,8,0,10.7,11.3,1,1.67,391,bad
0,0.14,0.356,4,0,56,68,6,12,1670,good
0,0.22,0.559,8,4,40,68,14,24,2180,good
0,0.291,0.739,7.27,12.7,23.6,60,19.1,29.1,2210,good
0.0004,0,0,0,0.333,10,12,0,0,209,medium
0,0.225,0.572,5,1.67,31.7,66.7,7.5,13.3,1670,good
0,0.505,1.28,78.9,3.15,3.15,6.31,0,1.58,1450,medium
0.0214,0.429,1.09,7.14,3.57,0,60.7,3.57,25,2090,medium
0.00106,0.189,0.481,5.73,1.32,2.64,14.5,0.22,2.2,424,bad
0.004,0.433,1.1,46.7,23.3,3.33,30,1.67,15,1810,medium
0,0.0967,0.246,6.67,10,43.3,46.7,20,33.3,2230,good
0,0.433,1.1,6.67,0,0,73.3,0,6.67,1670,medium
0,0.433,1.1,6.67,0,0,73.3,0,6.67,1670,medium
0,0.13,0.33,14,0,0,2,3,9,586,bad
0,0.109,0.278,0,0,50,53.1,0,0,916,good
0,0.11,0.279,6.67,2.67,0,50,23.3,30,2040,good
0,0.0548,0.139,0.645,0,11,12.3,0,0.161,229,good
0.0441,0.184,0.467,13.2,7.35,35.3,64.7,0,5.15,1410,medium
0.0794,0.353,0.896,16.2,5.88,30.9,60.3,1.47,8.82,1540,medium
0.0794,0.221,0.56,14.7,5.88,33.8,64.7,2.21,7.35,1480,good
0.025,0.219,0.556,18.8,6.25,25,56.2,5.21,10.4,1570,good
0,0.325,0.825,15,7.5,20,45,7.5,32.5,2090,good
0,0.25,0.635,10,7.5,25,52.5,7.5,27.5,1990,good
0.0794,0.294,0.747,14.7,5.88,30.9,60.3,2.21,10.3,1540,good
0,0.105,0.267,0,0,15.8,16.7,0,0,279,medium
0,0,0,12.5,10,2.5,67.5,0,7.5,1570,bad
0,0.967,2.46,0,0,0,3.33,50,43.3,1670,good
0,1.27,3.22,0,0,26.7,26.7,0,0,700,good
0.008,0.6,1.52,0,0,0,6.67,0,20,840,medium
0,0.141,0.359,21.2,0,0,3.53,1.18,5.88,591,bad
0,0.833,2.12,0,0,46.7,46.7,0,0,840,good
0,0.0542,0.138,3.33,0,5,5.42,0,0,157,bad
0,0.0333,0.0847,6.67,6.67,46.7,50,16.7,33.3,2230,good
0,0.632,1.6,31.6,22.8,5.26,40.4,3.51,12.3,1390,good
0.00796,0.389,0.989,1.77,0.885,3.54,3.54,0.885,5.31,296,medium
0,0.136,0.346,9.09,9.09,36.4,54.5,18.2,36.4,1900,good
0,0,0,6.67,11.1,11.1,33.3,33.3,55.6,2320,good
0,0,0,5.26,7.89,47.4,60.5,18.4,31.6,1980,good
0,0,0,5.26,7.89,44.7,57.9,18.4,31.6,1980,good
0,0,0,0,0,0,0,0,0,0,medium
0.03,0.4,1.02,40,2,4,32,6,12,1670,good
0,0.17,0.432,42,4,6,34,6,9,1510,medium
0.0192,0.224,0.569,0.8,1.6,3.2,5.6,0,1.2,150,medium
0.0857,0.357,0.907,7.14,3.57,0,60.7,5.36,28.6,2090,medium
0.00102,0.0636,0.161,4.24,0,5.51,5.93,1.27,2.12,248,medium
0,1.66,4.22,28.6,0,0,0,10.7,32.1,1640,good
0,1.84,4.67,23.3,0,0,2.33,11.6,23.3,1360,good
0,1.71,4.35,28.6,0,0,3.57,7.14,17.9,1050,good
0,0.357,0.907,7.14,7.14,0,67.9,5.36,25,2090,medium
0,6,15.2,11.8,17.6,11.8,47.1,0,5.88,3540,good
0,0.517,1.31,35,28.3,1.67,36.7,5,11.7,1260,medium
0.0243,0,0,0,0,5.74,8.11,0,0,141,medium
0.00141,0.0441,0.112,3.53,0,11.2,13.5,0.882,1.47,345,medium
0.000706,0.05,0.127,3.53,0,11.8,14.1,0.882,1.47,345,medium
0,0.0441,0.112,3.53,0,11.8,14.1,0.882,1.47,345,medium
0,0.321,0.816,17.9,0,1.79,0,1.79,8.93,673,medium
0,0.643,1.63,25,0,0,3.57,17.9,32.1,1640,good
0,0.75,1.9,21.4,0,0,3.57,21.4,32.1,1640,good
0,0.643,1.63,25,0,0,3.57,17.9,32.1,1640,good
0,0.214,0.544,32.1,0,0,3.57,17.9,28.6,1640,good
0,0.607,1.54,25,0,0,3.57,17.9,32.1,1640,good
0.0075,0.0146,0.037,0,0,6.25,6.25,0,0,105,medium
0,0,0,0,0,0,0,80,93.3,6.67,good
0,0,0,0,30.2,50.4,90.7,0,0,1470,medium
0.00429,1.21,3.08,7.14,3.57,3.57,75,1.79,12.5,1790,good
0.00102,0.237,0.603,1.69,1.69,2.54,4.24,0.847,4.24,248,bad
0,0.105,0.266,6.98,2.33,51.2,55.8,16.3,32.6,2240,good
0.002,0,0,13.3,6.67,0,66.7,0.833,4.17,1530,bad
0.217,0,0,0,3.51,10.5,14,0,0,249,bad
0,0.253,0.643,6.67,6.67,6.67,80,0,0,1480,bad
0,0.438,1.11,21.9,6.25,9.38,25,7.81,46.9,2350,good
0.0643,0.0179,0.0454,3.57,3.57,78.6,89.3,10.7,17.9,2090,good
0,0.00833,0.0212,0,0,6.67,6.67,0,0,105,medium
0.0353,0.0235,0.0598,1.18,2.35,1.18,4.71,0,0,148,bad
0.009,0.045,0.114,4,3,4,11,0,1,251,bad
0.0212,0.0265,0.0674,1.77,2.65,8.85,12.4,0,0,222,bad
0,0,0,0,0,57.9,57.9,0,0,989,good
0.00343,0.286,0.726,17.1,11.4,5.71,65.7,0,4.29,1550,bad
0.0214,0.821,2.09,7.14,3.57,3.57,60.7,1.79,25,211,medium
0,0.052,0.132,0,12,56,88,0,0,1510,medium
0,0.457,1.16,17.4,10.9,21.7,52.2,5.43,15.2,1640,good
0.00381,0.0116,0.0295,0.634,0.211,5.29,5.5,0,0.211,115,bad
0,0.429,1.09,14.3,14.3,0,64.3,0,17.9,2090,medium
0,1.75,4.44,17.9,0,32.1,35.7,0,3.57,1050,good
0.00141,0.0706,0.179,2.35,0,8.24,12.9,1.18,1.76,345,medium
0,0.0143,0.0363,22.9,20,8.57,62.9,0,0,1430,bad
0,0.282,0.717,4.34,0,35.8,53.2,3.26,17.4,1590,good
0,0.75,1.9,0,0,0,7.14,3.57,71.4,2690,good
0,0.821,2.09,0,0,0,7.14,3.57,71.4,2690,good
0.00706,0.0196,0.0498,9.8,13.7,47.1,70.6,1.96,13.7,1800,good
0,0.36,0.914,24,0,0,0,1,3,502,bad
0,0.802,2.04,9.62,3.21,0,64.1,3.21,16,1880,good
0,0.533,1.35,6.67,6.67,0,80,0,6.67,1670,medium
0,0.408,1.04,4.62,5.38,1.54,16.9,0,0.769,386,bad
0,0.422,1.07,6.25,6.25,18.8,81.2,0,7.81,1700,medium
0,0.466,1.18,10.3,12.1,8.62,81,0,1.72,1520,medium
0,0.468,1.19,2.6,0,42.9,59.7,5.84,11.7,1470,good
0.00075,0.881,2.24,4.38,1.88,3.75,31.2,0.312,1.88,680,medium
0,0.643,1.63,25,0,0,0,25,35.7,1720,good
0.0214,0.643,1.63,7.14,3.57,7.14,71.4,1.79,16.1,1940,medium
0.0676,0.789,2,12.7,1.41,1.41,5.63,7.04,16.9,942,good
0,0.217,0.55,3.33,3.33,16.7,70,10,20,1950,good
0,0.11,0.279,6,10,42,56,22,36,2260,good
